Nombre,Anyo,Roles,Peliculas,Premios
Shiva Gered,-1,Reparto,"Nobat e Asheghi, Ice Cream 333",No tiene premios
Abdurrahman Palay,-1,Reparto. Dirección. Guion,"Gül Ayse, Adalardan Bir Yar Gelir Bizlere, Garibim çalikusu",No tiene premios
Menderes Samancilar,1954,Reparto. Cámara y electricidad,"Babamin Kanatlari, Zikkimin Kökü, Watchtower",Otros premios
Aken Tunj,-1,Reparto,Nobat e Asheghi,No tiene premios
Oscar Mendy,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Jose Americo Ghezzi,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Pedro Moisas,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Filiberto Satti,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Uda Conti,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Jorge Di Paola,-1,Reparto,"¡Que vivan los crotos!, Las memorias del señor Alzheimer, Gombrowicz, o la seducción (Representado por sus discípulos)",No tiene premios
Pedro Loeb,-1,Reparto. Guion y continuidad. Guion,"Cádiz - Madriz, Los inmortales II: El desafío, Gabor",Otros premios
Juan Vitali,-1,Reparto,"Herencia de amor, Apartamento cero, La pobre Clara",No tiene premios
Maria de Medeiros,1965,Reparto. Dirección. Guion,"Pulp Fiction, Capitanes de abril, Adán y Eva",Otros premios
Rui Mendes,-1,Reparto. Guion. Equipos adicionales,"Os Abismos da Meia-Noite, El viaje de Chihiro, Capitão Falcão",Otros premios
Manuela de Freitas,-1,Reparto. Guion y continuidad. Banda sonora,"O Lugar do Morto, Fragmentos de um Filme-Esmola: A Sagrada Família, Rita",No tiene premios
Carlos Daniel,-1,Reparto,"Os Emissários de Khalôm, La tómbola de la muerte, Muertes violentas",No tiene premios
Filipe Ferrer,-1,Reparto. Dirección,"La hija de D'Artagnan, Mensagem, 1867",No tiene premios
Luís Santos,-1,Reparto,"O Lugar do Morto, Via Macau, Fado Corrido",No tiene premios
Mário Sargedas,-1,Reparto,"Via Macau, Fado Corrido, Le retour d'Arsène Lupin",No tiene premios
Luís Mata,-1,Reparto. Guion. Dirección de producción,"Vidas de Sal, Le retour d'Arsène Lupin, Procura-se",No tiene premios
Rui Luís,-1,Reparto. Guion. Equipos adicionales,"Anjo Selvagem, Conde de Abranhos, Primeiro Amor",No tiene premios
José Manuel Mendes,-1,Reparto,"A Hora da Liberdade, O Último Banho, Las mil y una noches: volumen 2. El desconsolado",Otros premios
John Varty,-1,Producción. Dirección de fotografía y cámara. Guion,"Nacidos para la libertad, Savannah Cats, Survival on the Savannah",Otros premios
Elmon Mhlongo,-1,Dirección de fotografía y cámara. Cámara y electricidad. Sonido,"The Super Predators, Savannah Cats, The Mating Game",No tiene premios
Brooke Shields,1965,Reparto. Producción. Dirección,"El lago azul, La pequeña, Amor sin fin",Otros premios
Martin Sheen,1940,Reparto. Producción. Dirección,"Infiltrados, Malas tierras, Apocalypse Now",Ganó 1 premio Primetime Emmy
David Keith,1954,Reparto. Música. Dirección,"Oficial y caballero, Tras la línea enemiga, La llave mágica",Otros premios
Norman Anstey,-1,Reparto,"Who Am I? (¿Quién soy?), Distrito 9, Una razón para vivir (Breathe)",No tiene premios
Themba Ndaba,-1,Reparto,"El soldado de Dios, Hopeville, Hopeville",Otros premios
Renée Estevez,1967,Reparto. Guion,"Escuela de jóvenes asesinos, El camino, Intruso en la noche",Otros premios
Greg Latter,-1,Reparto. Guion. Dirección,"Adiós Bafana, Tren de noche a Lisboa, El Triángulo de las Bermudas",Otros premios
Vusi Kunene,-1,Reparto,"Espías desde el cielo, A Small Town Called Descent, House of Zwide",Otros premios
Ángela Molina,1955,Reparto. Dirección de arte. Edición,"Carne trémula, 1492: La conquista del paraíso, Los abrazos rotos",Otros premios
Manuel Bandera,1960,Reparto. Equipos adicionales. Banda sonora,"Réquiem por Granada, Átame!, Las cosas del querer",Otros premios
Susú Pecoraro,-1,Reparto,"Camila, Roma, Mujeres de nadie",Otros premios
Darío Grandinetti,1959,Reparto,"Hable con ella, Relatos salvajes, Sus ojos se cerraron y el mundo sigue andando",Otros premios
Amparo Baró,1937,Reparto,"7 vidas, El internado, Siete mesas de billar francés",Otros premios
Anabel Alonso,1964,Reparto. Banda sonora,"7 vidas, Los ladrones van a la oficina, Historia de un búho",Otros premios
Antonio Valero,1955,Reparto,"La forja de un rebelde, El color de las nubes, El hombre nervioso",Otros premios
Mary Carmen Ramírez,-1,Reparto. Banda sonora,"Belle Epoque, La corte de Faraón, Así en el cielo como en la tierra",Otros premios
Esther Goris,-1,Reparto. Guion. Dirección,"Eva Perón, Ni Dios, ni patrón, ni marido, Espadas de acero",Otros premios
Gustavo Ferrari,-1,Reparto,"Doble filo, El regreso, Sólo para parejas",No tiene premios
Rainer Egger,-1,Reparto. Dirección. Guion,"El violín rojo, La dama de oro, Die fünfte Jahreszeit",No tiene premios
Dani Levy,1957,Dirección. Guion. Reparto,"El Juego de Zucker, Stille Nacht, En el lugar del crimen",Otros premios
Mercedes Echerer,-1,Reparto. Banda sonora,"Eine Sache der Perspektive, Halbe Welt, New York November",Otros premios
Maria Schrader,1965,Reparto. Dirección. Guion,"Al descubierto, Unorthodox, El hombre perfecto",Ganó 1 premio Primetime Emmy
Goran Rebic,-1,Dirección. Guion. Reparto,"Donau, Duna, Dunaj, Dunav, Dunarea, Jugofilm, Kazna",Otros premios
Allen Browne,-1,Reparto,Halbe Welt,No tiene premios
Proschat Madani,-1,Reparto,"Walking on Sunshine, CopStories, Kunduz: The Incident at Hadji Ghafur",Otros premios
Cornelia Lippert,-1,Reparto,"Dark, Halbe Welt, En el lugar del crimen",No tiene premios
Clemens Galen,-1,Reparto,"Halbe Welt, Medicopter, Julia - Eine ungewöhnliche Frau",No tiene premios
Mike Marinucci,-1,Reparto,Halbe Welt,No tiene premios
Bobbie Bresee,1942,Reparto,"El poder de las armas, Mausoleum, Ghoulies",Otros premios
Shannon Sturges,-1,Reparto. Equipos adicionales. Equipo ejecutivo,"S.W.A.T.: Los hombres de Harrelson, Juego de ladrones: El atraco perfecto, Lift: Un robo de primera clase",No tiene premios
Peter Marmentini,-1,Reparto,"Madison, Malibu Summer, Al día siguiente",No tiene premios
Kenny Cooper,-1,Reparto,¡Que rollo de madre!,No tiene premios
Dan Cashman,1938,Reparto. Producción,"El coleccionista de amantes, Rocket Science, The Blue Men",No tiene premios
Margaret Silbar,-1,Reparto,"Quincy, California, Werewolf",No tiene premios
Pamela S. Neill,-1,Reparto,"Nacido el cuatro de julio, ¡Que rollo de madre!",No tiene premios
Kelly Nelson,-1,Reparto,"The Gardener, Los chicos del maíz 3: La cosecha urbana, Melrose Place",No tiene premios
Carrie Chambers,-1,Reparto. Guion. Producción,"Muerte callejera, Sleepaway Camp IV: The Survivor, Caza humana",No tiene premios
Louis De Mangus,-1,Reparto,¡Que rollo de madre!,No tiene premios
Govinda,1963,Reparto. Música. Producción,"Coolie No. 1, Partner, Holiday",Otros premios
Karisma Kapoor,1974,Reparto. Música,"Dil To Pagal Hai, Zubeidaa, Fiza",Otros premios
Harish,-1,Reparto. Producción,"Gaddaar, Kaash... Hamara Dil Pagal Na Hota, Aunty No. 1",No tiene premios
Kanchan,-1,Reparto,"Jurmana, Itihaas, Allari Premikudu",No tiene premios
Kader Khan,1937,Reparto. Guion. Producción,"Taqdeerwala, Naseeb, Angaar",Otros premios
Shakti Kapoor,1952,Reparto. Música. Banda sonora,"Andaz Apna Apna, Gunda, Animal",Otros premios
Sadashiv Amrapurkar,1950,Reparto. Guion. Música,"Sadak, Ishq, Ardh Satya",Otros premios
Kulbhushan Kharbanda,1944,Reparto. Banda sonora,"Lagaan: Érase una vez en la India, Haider, La boda del monzón",Otros premios
Mahesh Anand,-1,Reparto. Producción,"Thanedaar, Aaya Toofan, Pyaar Kiya Nahin Jaata..",No tiene premios
Vikas Anand,-1,Reparto. Guion,"Sholay, Khoon Bhari Maang, Darr",No tiene premios
Dan Horton,-1,Reparto. Producción. Sonido,"Actors Anonymous: The Truth Behind the Dream, Arrested Development, Inspector Mom",No tiene premios
Tori Sinclair,-1,Reparto. Equipos adicionales. Dirección,"Lolita 2000, Caged Fear, Bondage Confidential",No tiene premios
Julie Strain,1962,Reparto. Producción. Dirección,"Superdetective en Hollywood III, Heavy Metal 2, Agárralo como puedas 33 1/3: El insulto final",No tiene premios
Tane McClure,-1,Reparto. Producción. Dirección,"Una rubia muy legal, Séance Games: Metaxu, Crueles intenciones 2",Otros premios
Monique Parent,-1,Reparto. Producción. Dirección,"Garden of Eden, That's a Wrap, Magic Funhouse!",No tiene premios
Karen Stone,-1,Reparto,"Concealed Weapon, Night Visions",No tiene premios
Seana Ryan,-1,Reparto. Vestuario,"Alma desnuda, Venus Descending, Illicit Lovers",No tiene premios
Tamara Kane,-1,Reparto,"Love Me Twice, Devo Presents Adventures of the Smart Patrol, Night Visions",No tiene premios
Heather Hart,-1,Reparto,"Trouble Maker, Confessions 1, Hidden Obsessions",No tiene premios
Jennifer Burton,-1,Reparto. Especialistas,"Juegos de pareja, Red Shoe Diaries, Mirada prohibida",No tiene premios
Suzanne Ager,-1,Reparto. Producción,"Dibujos maléficos, Mob Boss, Inner Sanctum",No tiene premios
Priscilla Barnes,-1,Reparto. Producción,"Jane the Virgin, Apartamento para tres, Los renegados del diablo",Otros premios
Michelle Bauer,1958,Reparto. Equipos adicionales. Vestuario,"Endemoniados, Virgin High, Beverly Hills Vamp",No tiene premios
Veronica Carothers,-1,Reparto. Equipos adicionales,"Good Girls Don't, Kinjite: prohibido en occidente, Phoenix the Warrior",No tiene premios
Ruth Collins,-1,Reparto. Producción. Dirección,"Moving America Forward, Despiadado, Witch Academy",No tiene premios
Don Dowe,1961,Reparto. Equipos adicionales,"Como Dios, La batalla de los sexos, Eddie Presley",No tiene premios
John Henry Richardson,-1,Reparto. Dirección. Guion,"Nessie y yo, Una invitada peligrosa, ... Where Is She Now?",Otros premios
Robert Vaughn,1932,Reparto. Dirección,"Los siete magníficos, Bullitt, El coloso en llamas",Nominado para 1 premio Óscar
Steve Cotroneo,-1,Efectos especiales. Reparto. Arte,"Pesadilla final: La muerte de Freddy, Profundidad seis, Cyber Bandits",No tiene premios
Ron Pardini,-1,Efectos especiales. Arte. Reparto,"Cyber Bandits, Seducción asesina, Hysteria",No tiene premios
Ariadna Gil,1969,Reparto. Dirección. Guion,"El laberinto del fauno, Alatriste, Belle Epoque",Otros premios
Arielle Dombasle,1953,Reparto. Dirección. Guion,"X Femmes, Opium, Astérix y Obélix contra César",Otros premios
Evelyne Didi,1949,Reparto. Banda sonora,"La vida de bohemia, ¿Qué hacemos con la abuela?, El amor de Tony",Otros premios
Lluís Homar,1957,Reparto. Dirección. Equipos adicionales,"Los abrazos rotos, Eva, La mala educación",Otros premios
Frédéric Longbois,-1,Reparto. Banda sonora,"Mecánicas celestes, La belle et la toute petite bête, Opium",No tiene premios
Hildegarde García Madriz,-1,Reparto,Mecánicas celestes,No tiene premios
Michel Debrane,-1,Reparto,"La diva, Mecánicas celestes, Les compagnons de Baal",No tiene premios
Olivier Granier,-1,Reparto,"Flash-back (El apartamento), La grande collection, Le grand Charles",No tiene premios
Alma Rosa Castellanos,-1,Reparto. Banda sonora,"La buena vida, Mecánicas celestes",No tiene premios
Philippe Beautier,-1,Reparto,"Feliz Navidad, La ciudad de los niños perdidos, Largo domingo de noviazgo",No tiene premios
Ricky Davao,1961,Dirección. Reparto. Dirección de la segunda unidad o asistencia a dirección,"F#*@bois, Dayang Asu, Saranggola",Otros premios
Yukari Ôshima,1963,Reparto. Producción. Equipos adicionales,"Historia de Ricky, Chôdenshi Baioman, Millionaires Express (El tren de los millonarios)",No tiene premios
Monsour Del Rosario,-1,Reparto. Producción,"Dian zi ge men zhan shi, Buhawi Jack, Sao hei te qian dui",Otros premios
Eddie Gutierrez,-1,Reparto. Producción,"Ikaw pa lang ang minahal, Uubusin ko ang lahi mo, Pat. Omar Abdullah: Pulis probinsiya",Otros premios
Gabriel Romulo,-1,Reparto. Especialistas,"Hong tian mi ling, Alamid: Ang alamat, Eskort",No tiene premios
Charlie Davao,-1,Reparto. Producción,"La furia de Satán, Pamilya Banal, Deo Dador: Berdugo ng Munti",No tiene premios
Phillip Ko,1949,Reparto. Dirección. Especialistas,"Dian zi ge men zhan shi, Awara Paagal Deewana, Iyo ang Hong Kong, akin ang Manila!",Otros premios
Melvin Wong,1949,Reparto. Producción. Guion,"Al borde de la ley, Joi jin gong woo, Sang gong seung lung",No tiene premios
Bernardo Bernardo,-1,Reparto. Guion. Dirección,"City After Dark, Imbisibol, Proboys",Otros premios
Jaime Fabregas,1950,Reparto. Composición. Música,"José Rizal, Sa kabila ng lahat, Mumbaki",Otros premios
Olivier Gruner,1960,Reparto. Producción. Especialistas,"Sector 4, Fuerza de choque, Re-Generator",Otros premios
Daphne Ashbrook,1963,Reparto. Guion. Producción,"Doctor Who, Star Trek: Espacio Profundo Nueve, JAG: Alerta roja",No tiene premios
John Glover,1944,Reparto. Equipos adicionales. Banda sonora,"Los fantasmas atacan al jefe, Gremlins 2: La nueva generación, En la boca del miedo",Nominado para 5 premios Primetime Emmy
Jeff Kober,1953,Reparto. Guion. Arte,"Sully, The Walking Dead, Hijos de la anarquía",Otros premios
Dennis Lipscomb,1942,Reparto,"Juegos de guerra, Alerta máxima, Ojos de fuego",No tiene premios
Stanley Kamel,-1,Reparto. Banda sonora,"Domino, Inland Empire, Melrose Place",No tiene premios
Penny Johnson Jerald,1960,Reparto,"24, Poder absoluto, Star Trek: Espacio Profundo Nueve",Otros premios
Annabelle Gurwitch,1961,Reparto. Guion. Producción,"Melvin Goes to Dinner, Un loco a domicilio, Un ratoncito duro de roer",Otros premios
Troy Evans,1948,Reparto. Banda sonora,"Miedo y asco en Las Vegas, Alerta máxima, Demolition Man",No tiene premios
Marjean Holden,1964,Reparto. Especialistas. Dirección,"Mortal Kombat: Aniquilación, El mundo perdido: Jurassic Park, Hostage",No tiene premios
Dan Haggerty,1941,Reparto. Equipos adicionales. Producción,"El gran Stan: El matón de la prisión, Elves, Secuestrada",Otros premios
Jan-Michael Vincent,1944,Reparto. Producción. Banda sonora,"Muerde la bala, Fríamente... sin motivos personales, Fuerza de vigilancia",Otros premios
Raquel Bianca,-1,Reparto. Banda sonora,"Step Up All In, Secuestradas, Huevos de oro",No tiene premios
Debbie Rochon,1968,Reparto. Producción. Guion,"Model Hunger, Exhumed, Slime City Massacre",Otros premios
Donna Jason,-1,Reparto. Guion. Dirección de la segunda unidad o asistencia a dirección,"Honor y gloria, Secuestradas, Cui hua kuang mo",No tiene premios
Nicholas Buchart,-1,Reparto,"Secuestradas, The Diary, Sleepover Nightmare",No tiene premios
James Leard,-1,Reparto,"Mujercitas, Sentinel, Expediente X",No tiene premios
Jody Andrews,-1,Reparto,Secuestradas,No tiene premios
Kenneth Kantymir,-1,Equipos adicionales. Reparto. Producción,"El núcleo, Get Carter (Asesino implacable), ¿Cuándo llegamos?",No tiene premios
Marcus James,-1,Cámara y electricidad. Reparto. Dirección de fotografía y cámara,"Ice Road, Noche de paz, Ghostland",No tiene premios
Robert Davi,1951,Reparto. Producción. Dirección,"Jungla de cristal, Los Goonies, 007: Licencia para matar",Otros premios
Michael Paré,1958,Reparto. Dirección. Producción,"Las vírgenes suicidas, Sin rastro, Siempre queda el amor",Otros premios
John Savage,-1,Reparto. Producción. Composición,"Con todos los honores, El cazador, Hair",Otros premios
Joel Grey,1932,Reparto. Banda sonora,"Cabaret, Remo, desarmado y peligroso, Bailar en la oscuridad",Ganó 1 premio Óscar
Elliott Gould,1938,Reparto. Producción. Banda sonora,"M*A*S*H, Ocean's Eleven: Hagan juego, Ocean's 13",Nominado para 1 premio Óscar
Cary-Hiroyuki Tagawa,1950,Reparto. Producción. Equipos adicionales,"Mortal Kombat, El planeta de los simios, Tekken",Otros premios
Paula Barbieri,-1,Reparto,"Peligroso, The Misery Brothers, The Watcher",No tiene premios
Juan Fernández,1956,Reparto. Equipos adicionales. Producción,"Diablo (A Man Apart), The Collector, Cocodrilo Dundee II",No tiene premios
Saemi Nakamura,-1,Reparto. Equipos adicionales,"El show de Truman, Contact, Asesinos natos",No tiene premios
June Saruwatari,-1,Reparto. Producción,"Murder One, Peligroso, Las Vegas",No tiene premios
Trenton Knight,-1,Reparto,"El guerrero del bosque, El misterioso fantasma de un niño muy normalito, The Waiter",Otros premios
Cheech Marin,1946,Reparto. Guion. Producción,"Nacido al este de Los Ángeles, Tin Cup, Como humo se va",Otros premios
Anthony Edwards,1962,Reparto. Producción. Dirección,"Urgencias, Top Gun: Ídolos del aire, Zodiac",Ganó 1 premio Primetime Emmy
Charles Rocket,1949,Reparto. Banda sonora,"Dos tontos muy tontos, Bailando con lobos, Titan A.E.",Otros premios
Linda Fiorentino,1958,Reparto. Banda sonora,"La última seducción, Men in Black (Hombres de negro), Dogma",Nominado a 1 premio BAFTA
Robert Hy Gorman,1980,Reparto. Producción,"No le digas a mamá que la canguro ha muerto, La noche del duende (Leprechaun), Eternamente joven",Otros premios
Daphne Zuniga,1962,Reparto. Producción. Dirección,"One Tree Hill, Melrose Place, Spaceballs",Otros premios
Veronica Lauren,-1,Reparto,"De vuelta a casa: Un viaje increíble, Eternamente joven, American Pie",No tiene premios
J.T. Walsh,1943,Reparto,"Breakdown, El otro lado de la vida, La tienda",Nominado para 1 premio Primetime Emmy
Dean Cameron,1962,Reparto. Dirección. Guion,"Juerga tropical, Straight Outta Compton, Duerme conmigo",Otros premios
Gábor Máté,1955,Reparto. Dirección,"A három növér, Hülyeség nem akadály, Mielött befejezi röptét a denevér",No tiene premios
Éva Igó,-1,Reparto. Banda sonora,"Ilusiones de un mentiroso, Una vida regalada (Aranyelet), Sunshine",No tiene premios
Gabriella Németh,-1,Maquillaje. Producción. Reparto,"Blade Runner 2049, Marte (The Martian), La caverna maldita",Otros premios
Gyula Benkö,-1,Reparto. Guion y continuidad. Equipos adicionales,"Szerelmes szívek, Férjhez menni tilos!, Három csengö",No tiene premios
József Szarvas,-1,Reparto,"Patika, Könyörtelen idök, Talent: A Sikercsapat",No tiene premios
Erika Marozsán,1972,Reparto,"Hércules, El juego del amor, Rám csaj még nem volt ilyen hatással",No tiene premios
Olivér Csendes,-1,Reparto,"Meteo, Dulce Emma, querida Böbe, Hamvadó cigarettavég",No tiene premios
Kathleen Gati,1957,Reparto. Equipos adicionales. Producción,"Fear the Walking Dead: Flight 462, Arrow, Being Mary Jane",Otros premios
Zsolt László,-1,Reparto,"Kontroll, La legión del águila, A halálba táncoltatott leány",Otros premios
Vera Pap,-1,Reparto,"Angi Vera, Dögkeselyü, Illatszertár",Otros premios
Frank Anderson,-1,Reparto,"Ley y orden, El nórdico, Ley y orden: Unidad de Víctimas Especiales",No tiene premios
Dan Carter,-1,Reparto,"El policía gladiador, A Dios rogando... y a los fieles timando",No tiene premios
Eugene Clark,1951,Reparto,"La tierra de los muertos vivientes, Tensión en la noche, Tres hombres y un bebé",Otros premios
Christopher Lee Clements,-1,Reparto. Producción. Equipos adicionales,"Cero en conducta, Almacén 13, Route 68 Motel",No tiene premios
Heather Gillan,-1,Reparto,El policía gladiador,No tiene premios
James Hong,1929,Reparto. Producción. Guion,"Todo a la vez en todas partes, Kung Fu Panda 2, Golpe en la pequeña China",Otros premios
Steve Kendry,-1,Reparto,El policía gladiador,No tiene premios
Peter Kerenyi,-1,Reparto,"City of Dark, El policía gladiador",No tiene premios
Joe Lalogga,-1,Especialistas. Reparto. Localización,"RoboCop, El increíble Hulk, Saw VI",No tiene premios
Lorenzo Lamas,1958,Reparto. Producción. Dirección,"Body rock, Grease, Falcon Crest",Otros premios
Seydou Boro,-1,Reparto. Dirección. Banda sonora,"Paris, je t'aime, Danseuse d'ébène, Keïta! L'héritage du griot",No tiene premios
Hamed Dicko,-1,Reparto,Keïta! L'héritage du griot,No tiene premios
Abdoulaye Komboudri,-1,Reparto. Dirección de la segunda unidad o asistencia a dirección,"Faso Furie, Silmandé - Tourbillon, L'or des Younga",No tiene premios
Sotigui Kouyaté,1936,Reparto. Composición,"Little Senegal, Negocios ocultos, London river",Otros premios
Seydou Rouamba,-1,Reparto,Keïta! L'héritage du griot,No tiene premios
Claire Sanon,-1,Reparto,Keïta! L'héritage du griot,No tiene premios
Mamadou Sarr,-1,Reparto. Dirección. Guion,"Afrique sur Seine, Môl, Xala",No tiene premios
Blandine Yaméogo,-1,Reparto. Composición. Equipos adicionales,"Delwende, The Night of Truth, Danse sacrée à Yaka",No tiene premios
Peter Ustinov,1921,Reparto. Guion. Dirección,"Espartaco, Muerte en el Nilo, La fuga de Logan",Ganó 2 premios Óscar
Dee Wallace,1948,Reparto. Producción. Equipos adicionales,"E.T. El extraterrestre, Cujo, Aullidos",Otros premios
Timothy Hegeman,-1,Reparto,The Phoenix and the Magic Carpet,No tiene premios
Laura Kamrath,-1,Reparto,The Phoenix and the Magic Carpet,No tiene premios
Nick Klein,-1,Reparto,"Brigada espacial, The Phoenix and the Magic Carpet",No tiene premios
Nicole Lengenberg,-1,Reparto,"The Phoenix and the Magic Carpet, Streit um Drei, Nesthocker - Familie zu verschenken",No tiene premios
Ewen Bremner,1972,Reparto. Producción. Composición,"T2: Trainspotting, Trainspotting, Wonder Woman",Otros premios
Maya Zekina,-1,Reparto,The Phoenix and the Magic Carpet,No tiene premios
Kenny Andrews,-1,Reparto. Equipos adicionales,"Crysis, The Phoenix and the Magic Carpet, Aladdin",No tiene premios
Patrick Swayze,1952,Reparto. Producción. Equipos adicionales,"Dirty Dancing, Ghost (Más allá del amor), Le llaman Bodhi",Otros premios
Oliver Platt,1960,Reparto. Producción,"Los tres mosqueteros de Alejandro Dumas, El hombre bicentenario, Mandíbulas",Nominado para 5 premios Primetime Emmy
Roger Aaron Brown,1949,Reparto. Equipos adicionales,"RoboCop 2, Buscando un amigo para el fin del mundo, Acción Jackson",No tiene premios
Nick Stahl,1979,Reparto. Producción. Dirección de la segunda unidad o asistencia a dirección,"Sin City: Ciudad del pecado, El hombre sin rostro, Terminator 3: La rebelión de las máquinas",Otros premios
Scott Glenn,1939,Reparto. Producción. Especialistas,"La caza del Octubre Rojo, El silencio de los corderos, El legado de Bourne",Otros premios
Stephen Lang,1952,Reparto. Producción. Guion,"Avatar, No respires, Avatar: El sentido del agua",Otros premios
Jared Harris,-1,Reparto. Dirección. Equipos adicionales,"Chernobyl, The Terror, The Crown",Nominado para 2 premios Primetime Emmy
Catherine O'Hara,1954,Reparto. Guion. Producción,"Un poderoso viento, Very Important Perros, Frankenweenie",Ganó 2 premios Primetime Emmy
Moira Sinise,-1,Reparto,"Terminator 3: La rebelión de las máquinas, Breakdown, De ratones y hombres",No tiene premios
Joe Grifasi,1944,Reparto,"Agárralo como puedas, Presunto inocente, El cazador",Otros premios
Kim Delaney,1958,Reparto. Producción,"Policías de Nueva York, Todos mis hijos, The O.C.",Ganó 1 premio Primetime Emmy
Chris Sarandon,1942,Reparto. Banda sonora. Producción,Pesadilla antes de Navidad,Nominado para 1 premio Óscar
Corbin Bernsen,1954,Reparto. Producción. Guion,"Kiss Kiss, Bang Bang, Una mujer en la liga, Tres granujas en la liga",Nominado para 2 premios Primetime Emmy
Dee Wallace,1948,Reparto. Producción. Equipos adicionales,"E.T. El extraterrestre, Cujo, Aullidos",Otros premios
Ben Cross,1947,Reparto. Producción,"Star Trek, El primer caballero, Carros de fuego",Otros premios
Jessica Walter,1941,Reparto. Banda sonora,"Arrested Development, Escalofrío en la noche, Archer",Ganó 1 premio Primetime Emmy
Katrina McNeal,-1,Reparto. Equipos adicionales,"Tentación, House Party 3, Trío heroico",No tiene premios
Gregory Wallace,-1,Reparto,"Tentación, Rústicos en Dinerolandia, The Cabinet of Dr. Ramirez",No tiene premios
David Brooks,-1,Reparto. Dirección de la segunda unidad o asistencia a dirección. Guion,"Todo el dinero del mundo, El sindicato, Tentación",No tiene premios
Ryan MacDonald,-1,Reparto. Edición,"JFK: Caso abierto, La pandilla, Sins of the Realm",No tiene premios
Daniel Cerny,-1,Reparto. Edición,"Doc Hollywood, Sin miedo a la vida, Los chicos del maíz 3: La cosecha urbana",No tiene premios
Ron Melendez,1972,Reparto,"American Horror Story, Perras furiosas, Legacy",No tiene premios
Jim Metzler,1951,Reparto. Producción,"L.A. Confidential, Instinto sádico, Una pistola, un coche y una rubia",Otros premios
Nancy Lee Grahn,1956,Reparto. Guion,"Hospital General, Santa Bárbara, Babylon 5",Otros premios
Jon Clair,-1,Reparto,"Los chicos del maíz 3: La cosecha urbana, Contracorriente, Historias de la cripta",No tiene premios
Mari Morrow,1968,Reparto. Producción,"Esta abuela es mi padre, Virtuosity, Seguridad nacional",No tiene premios
Michael Ensign,1944,Reparto,"Juegos de guerra, Los Cazafantasmas, Titanic",Otros premios
Duke Stroud,1938,Reparto,"Top Gun: Ídolos del aire, Mi querido mafioso, El coche fantástico",No tiene premios
Rif Hutton,1955,Reparto. Equipos adicionales. Sonido,"Star Trek: La próxima generación, Nivel 13, X-Men: Días del futuro pasado",Otros premios
Garvin Funches,-1,Reparto. Equipos adicionales,"Castle, Terminator: Las crónicas de Sarah Connor, Código de honor",No tiene premios
Martin Kemp,1961,Reparto. Dirección. Producción,"Stalker, Gente de barrio, Los Kray",Otros premios
Rebecca Ferratti,1964,Reparto,"Ace Ventura: Un detective diferente, Superdetective en Hollywood II, Tres amigos",No tiene premios
Alyssa Milano,1972,Reparto. Producción. Guion,"Embrujadas, ¿Quién es el jefe?, Commando",Otros premios
Glori Gold,-1,Reparto,"El abrazo del vampiro, Phat Beach, Bang",No tiene premios
Seana Ryan,-1,Reparto. Vestuario,"Alma desnuda, Venus Descending, Illicit Lovers",No tiene premios
Sabrina Allen,-1,Reparto. Guion. Producción,"Erotic Heat, El abrazo del vampiro, Vegan Zombies",No tiene premios
Harold Pruett,1969,Reparto. Banda sonora,"Aulas con ritmo, El abrazo del vampiro, Golpes de suerte",Otros premios
Jennifer Tilly,1958,Reparto. Guion. Banda sonora,"Lazos ardientes, La novia de Chucky, La semilla de Chucky",Nominado para 1 premio Óscar
Rachel True,1966,Reparto,"Jóvenes y brujas, Medio flipado, Con la música a tope",Otros premios
Jordan Ladd,1975,Reparto,"Death Proof, Nunca me han besado, Cabin Fever",Otros premios
Marina Zudina,1965,Reparto,"Testigo mudo, Esenin, Po glavnoy ulitse s orkestrom",Otros premios
Fay Ripley,1966,Reparto. Banda sonora,"Cold Feet, Reggie Perrin, Monday Monday",Nominado a 1 premio BAFTA
Evan Richards,-1,Reparto. Producción. Dirección,"Un día imprevisible, En los límites de la realidad, The Scenario",Otros premios
Oleg Yankovskiy,1944,Reparto. Dirección,"Nostalgia, Lyubovnik, Prikhodi na menya posmotret",Otros premios
Igor Volkov,-1,Reparto,"Mikhaylo Lomonosov, Zolotoy zapas, Serdtse kapitana Nemova",No tiene premios
Sergei Karlenkov,-1,Reparto,"Tragediya v stile rok, Testigo mudo, Sad zhelaniy",No tiene premios
Alec Guinness,1914,Reparto. Guion. Banda sonora,"La guerra de las galaxias, El puente sobre el río Kwai, Ocho sentencias de muerte",Ganó 1 premio Óscar
Aleksandr Pyatkov,-1,Reparto,"Dersu Uzala (El cazador), Tayna chyornykh drozdov, Moscú no cree en las lágrimas",Otros premios
Nikolai Pastukhov,-1,Reparto,"Loca academia de policía: Misión en Moscú, Tío Vania, La casa Rusia",No tiene premios
Aleksandr Bureyev,-1,Reparto,"Prizrak, Bolshoe zoloto mistera Grinvuda, Rasstanemsya - poka khoroshie",No tiene premios
Rustam Branaman,-1,Guion. Producción. Dirección,"Any Day, Iron Man 3, The Culling",No tiene premios
