Nombre,Anyo,Roles,Peliculas,Premios
Shiva Gered,-1,Reparto,"Nobat e Asheghi, Ice Cream 333",No tiene premios
Abdurrahman Palay,-1,Reparto. Dirección. Guion,"Gül Ayse, Adalardan Bir Yar Gelir Bizlere, Garibim çalikusu",No tiene premios
Menderes Samancilar,1954,Reparto. Cámara y electricidad,"Babamin Kanatlari, Zikkimin Kökü, Watchtower",Otros premios
Aken Tunj,-1,Reparto,Nobat e Asheghi,No tiene premios
Oscar Mendy,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Jose Americo Ghezzi,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Pedro Moisas,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Filiberto Satti,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Uda Conti,-1,Reparto,¡Que vivan los crotos!,No tiene premios
Jorge Di Paola,-1,Reparto,"¡Que vivan los crotos!, Las memorias del señor Alzheimer, Gombrowicz, o la seducción (Representado por sus discípulos)",No tiene premios
Pedro Loeb,-1,Reparto. Guion y continuidad. Guion,"Cádiz - Madriz, Los inmortales II: El desafío, Gabor",Otros premios
Juan Vitali,-1,Reparto,"Herencia de amor, Apartamento cero, La pobre Clara",No tiene premios
Maria de Medeiros,1965,Reparto. Dirección. Guion,"Pulp Fiction, Capitanes de abril, Adán y Eva",Otros premios
Rui Mendes,-1,Reparto. Guion. Equipos adicionales,"Os Abismos da Meia-Noite, El viaje de Chihiro, Capitão Falcão",Otros premios
Manuela de Freitas,-1,Reparto. Guion y continuidad. Banda sonora,"O Lugar do Morto, Fragmentos de um Filme-Esmola: A Sagrada Família, Rita",No tiene premios
Carlos Daniel,-1,Reparto,"Os Emissários de Khalôm, La tómbola de la muerte, Muertes violentas",No tiene premios
Filipe Ferrer,-1,Reparto. Dirección,"La hija de D'Artagnan, Mensagem, 1867",No tiene premios
Luís Santos,-1,Reparto,"O Lugar do Morto, Via Macau, Fado Corrido",No tiene premios
Mário Sargedas,-1,Reparto,"Via Macau, Fado Corrido, Le retour d'Arsène Lupin",No tiene premios
Luís Mata,-1,Reparto. Guion. Dirección de producción,"Vidas de Sal, Le retour d'Arsène Lupin, Procura-se",No tiene premios
Rui Luís,-1,Reparto. Guion. Equipos adicionales,"Anjo Selvagem, Conde de Abranhos, Primeiro Amor",No tiene premios
José Manuel Mendes,-1,Reparto,"A Hora da Liberdade, O Último Banho, Las mil y una noches: volumen 2. El desconsolado",Otros premios
John Varty,-1,Producción. Dirección de fotografía y cámara. Guion,"Nacidos para la libertad, Savannah Cats, Survival on the Savannah",Otros premios
Elmon Mhlongo,-1,Dirección de fotografía y cámara. Cámara y electricidad. Sonido,"The Super Predators, Savannah Cats, The Mating Game",No tiene premios
Brooke Shields,1965,Reparto. Producción. Dirección,"El lago azul, La pequeña, Amor sin fin",Otros premios
Martin Sheen,1940,Reparto. Producción. Dirección,"Infiltrados, Malas tierras, Apocalypse Now",Ganó 1 premio Primetime Emmy
David Keith,1954,Reparto. Música. Dirección,"Oficial y caballero, Tras la línea enemiga, La llave mágica",Otros premios
Norman Anstey,-1,Reparto,"Who Am I? (¿Quién soy?), Distrito 9, Una razón para vivir (Breathe)",No tiene premios
Themba Ndaba,-1,Reparto,"El soldado de Dios, Hopeville, Hopeville",Otros premios
Renée Estevez,1967,Reparto. Guion,"Escuela de jóvenes asesinos, El camino, Intruso en la noche",Otros premios
Greg Latter,-1,Reparto. Guion. Dirección,"Adiós Bafana, Tren de noche a Lisboa, El Triángulo de las Bermudas",Otros premios
Vusi Kunene,-1,Reparto,"Espías desde el cielo, A Small Town Called Descent, House of Zwide",Otros premios
Ángela Molina,1955,Reparto. Dirección de arte. Edición,"Carne trémula, 1492: La conquista del paraíso, Los abrazos rotos",Otros premios
Manuel Bandera,1960,Reparto. Equipos adicionales. Banda sonora,"Réquiem por Granada, Átame!, Las cosas del querer",Otros premios
Susú Pecoraro,-1,Reparto,"Camila, Roma, Mujeres de nadie",Otros premios
Darío Grandinetti,1959,Reparto,"Hable con ella, Relatos salvajes, Sus ojos se cerraron y el mundo sigue andando",Otros premios
Amparo Baró,1937,Reparto,"7 vidas, El internado, Siete mesas de billar francés",Otros premios
Anabel Alonso,1964,Reparto. Banda sonora,"7 vidas, Los ladrones van a la oficina, Historia de un búho",Otros premios
Antonio Valero,1955,Reparto,"La forja de un rebelde, El color de las nubes, El hombre nervioso",Otros premios
